"","model","species","covariates","WAIC","WAIC_p.eff","DIC","DIC_p.eff","DIC_mean.deviance","DIC_deviance.mean","log.marginal.likelihood","RSS"
"stats16","'-grassland","Short-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, cropland, built, water","412.760426873413","107.258085985971","269.639416957473","46.2509408519844","223.388476105489","177.137535253505","-133.159533908467","361.839220943611"
"stats17","'-grassland","Least weasel","Eastness, Northness, tavg, prec, elev, trees, cropland, built, water","118.539122769131","3.75066498271765","6.61489906331869","-66.2164970607289","72.8313961240476","139.047893184777","-149.263475636993","87.3665410122219"
"stats18","'-cropland","Long-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, built, water","2330.76704392871","7.19495539250899","2037.29906743539","-213.789129163072","2251.08819659846","2464.87732576153","-1322.23419358379","1776.94173776386"
"stats19","'-cropland","Short-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, built, water","694.570741335636","235.151608856891","345.779399287282","84.404483636988","261.374915650294","176.970432013306","-147.318753187367","383.829885577001"
"stats20","'-cropland","Least weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, built, water","118.124673992555","3.76118561262142","7.00777700731479","-65.7867292706713","72.7945062779861","138.581235548657","-149.833969844695","87.2625893478913"
"stats21","'-built","Long-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, cropland, water","2331.30983120591","7.38999601540149","2034.50844280522","-216.92917377609","2251.43761658131","2468.36679035739","-1324.6313408137","1775.42791157885"
"stats22","'-built","Short-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, cropland, water","969.55286915534","363.397983859128","500.966068487329","162.110547837836","338.855520649493","176.744972811657","-146.365715592455","480.23209177441"
"stats23","'-built","Least weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, cropland, water","118.25013413484","3.80958862163391","7.05938889536668","-65.7785816978048","72.8379705931715","138.616552290976","-148.620159844644","87.3599968264961"
"stats24","'-water","Long-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, cropland, built","2331.7946351072","7.00676098784383","2037.42279538851","-215.008931327572","2252.43172671608","2467.44065804366","-1322.13562224232","1777.22754400205"
"stats25","'-water","Short-tailed weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, cropland, built","534.959781995202","168.187962201385","280.329821210046","51.3317289267301","228.998092283316","177.666363356586","-134.037198169168","372.950491648966"
"stats26","'-water","Least weasel","Eastness, Northness, tavg, prec, elev, trees, grassland, cropland, built","116.545407057777","3.03763697091175","6.87821541050485","-65.7709097404169","72.6491251509218","138.420034891339","-150.951682941173","87.1383679984541"
"stats27","'-eastness","Long-tailed weasel","Northness, tavg, prec, elev, trees, grassland, cropland, built, water","2376.84794662062","6.53600297516733","2101.39783161293","-196.326742131696","2297.72457374462","2494.05131587632","-1335.52994938664","1826.71561528764"
"stats28","'-eastness","Short-tailed weasel","Northness, tavg, prec, elev, trees, grassland, cropland, built, water","1121.54477393804","419.291397074807","488.746805572774","135.797239330734","352.94956624204","217.152326911306","-160.192665502076","365.97998763589"
"stats29","'-eastness","Least weasel","Northness, tavg, prec, elev, trees, grassland, cropland, built, water","137.42075070113","13.3275066383592","10.6884616070925","-63.9951372107449","74.6835988178374","138.678736028582","-148.384798721979","89.2491990093559"
"stats30","'-northness","Long-tailed weasel","Eastness, tavg, prec, elev, trees, grassland, cropland, built, water","2330.47190098181","6.45505440140956","2036.8918212289","-214.626605503987","2251.51842673288","2466.14503223687","-1318.67563895127","1782.16247186519"
"stats31","'-northness","Short-tailed weasel","Eastness, tavg, prec, elev, trees, grassland, cropland, built, water","735.973151190596","256.607200384406","333.578312853166","77.1935960192046","256.384716833961","179.191120814756","-138.034771758951","390.168473843002"
"stats32","'-northness","Least weasel","Eastness, tavg, prec, elev, trees, grassland, cropland, built, water","135.887275349783","11.3009934314549","8.12487446374587","-66.4824413632115","74.6073158269574","141.089757190169","-148.988030433713","89.0803216010546"
"stats33","'-tavg,elev","Long-tailed weasel","Eastness, Northness, prec, trees, grassland, cropland, built, water","2326.63300545027","7.91135741060703","2029.31474534599","-216.970421779106","2246.28516712509","2463.2555889042","-1323.34888666268","1780.87474728914"
"stats34","'-prec,elev","Long-tailed weasel","Eastness, Northness, tavg, trees, grassland, cropland, built, water","2325.38851875634","7.70068030828931","2033.29412067742","-211.872551757415","2245.16667243483","2457.03922419225","-1317.1189431492","1774.69784586099"
"stats35","'-elev,trees","Long-tailed weasel","Eastness, Northness, tavg, prec, grassland, cropland, built, water","2326.61897655136","6.74103767220861","2024.49990618627","-222.904228780845","2247.40413496711","2470.30836374796","-1321.10412843771","1771.01309802053"
"stats36","'-elev,grassland","Long-tailed weasel","Eastness, Northness, tavg, prec, trees, cropland, built, water","2330.09829663252","6.81350766264967","2029.33290934269","-221.479965300423","2250.81287464311","2472.29283994353","-1321.17328343142","1773.43111116477"
"stats37","'-elev,cropland","Long-tailed weasel","Eastness, Northness, tavg, prec, trees, grassland, built, water","2325.80290379711","6.8938131875619","2026.02771940184","-220.388391099349","2246.41611050119","2466.80450160054","-1318.11151665662","1771.88340113923"
"stats38","'-elev,built","Long-tailed weasel","Eastness, Northness, tavg, prec, trees, grassland, cropland, water","2328.14156133634","7.31015344042613","2027.84912500403","-220.505571576727","2248.35469658076","2468.86026815748","-1319.68086634697","1772.21867607341"
"stats39","'-elev,water","Long-tailed weasel","Eastness, Northness, tavg, prec, trees, grassland, cropland, built","2326.78288733654","6.61832551477158","2026.07061440656","-221.747387580881","2247.81800198744","2469.56538956832","-1318.88425772203","1772.13866443726"
"stats40","'-elev,eastness","Long-tailed weasel","Northness, tavg, prec, trees, grassland, cropland, built, water","2375.40256865219","6.24176686288701","2095.49450601698","-201.162122590246","2296.65662860722","2497.81875119747","-1334.54809848858","1825.66777543414"
"stats41","'-elev,northness","Long-tailed weasel","Eastness, tavg, prec, trees, grassland, cropland, built, water","2323.04398869767","5.96177879206089","2020.3290335367","-224.267695116629","2244.59672865333","2468.86442376996","-1315.91566600709","1773.34216103031"
"stats42","'-tavg,grassland","Short-tailed weasel","Eastness, Northness, prec, elev, trees, cropland, built, water","250.903352602287","28.4347632068021","219.004460311128","14.9975332307381","204.00692708039","189.009393849652","-143.670748857901","335.386315331104"
