dataSource,dataSource_secondary,sourceID,species,dataType,date,time,latitude,longitude,positionalError_meters,specificGeography,dataNotes
ODNR (Diversity Database),NA,17851,Long-tailed weasel,Museum specimen,11/30/1932,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17852,Long-tailed weasel,Museum specimen,11/30/1932,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,9179,Long-tailed weasel,Museum specimen,9/16/1980,NA,41.6372,-81.145,402.336,,
ODNR (Diversity Database),NA,1048,Long-tailed weasel,Museum specimen,1/1/1979,NA,41.8056,-80.9486,1609.34,,
ODNR (Diversity Database),NA,1049,Long-tailed weasel,Museum specimen,11/1/1979,NA,41.8056,-80.9486,1609.34,,
ODNR (Diversity Database),NA,1469,Long-tailed weasel,Museum specimen,1/1/1968,NA,41.6789,-80.9484,4828.03,,
ODNR (Diversity Database),NA,12905,Long-tailed weasel,Museum specimen,11/2/1991,NA,40.4447,-80.8428,402.336,,
ODNR (Diversity Database),NA,12906,Long-tailed weasel,Museum specimen,11/4/1991,NA,40.4447,-80.8428,402.336,,
ODNR (Diversity Database),NA,19923,Long-tailed weasel,Museum specimen,NA,NA,41.2375,-80.8186,4828.03,,
ODNR (Diversity Database),NA,1558,Long-tailed weasel,Museum specimen,11/1/1983,NA,41.89,-80.7558,S7,,
ODNR (Diversity Database),NA,1559,Long-tailed weasel,Museum specimen,11/1/1983,NA,41.89,-80.7558,S7,,
ODNR (Diversity Database),NA,1563,Long-tailed weasel,Museum specimen,1/1/1986,NA,41.89,-80.7558,S7,,
ODNR (Diversity Database),NA,1564,Long-tailed weasel,Museum specimen,1/1/1986,NA,41.89,-80.7558,S7,,
ODNR (Diversity Database),NA,19962,Long-tailed weasel,Museum specimen,12/1/1974,NA,41.3153,-80.755,S7,,
ODNR (Diversity Database),NA,19963,Long-tailed weasel,Museum specimen,12/1/1974,NA,41.3153,-80.755,S7,,
ODNR (Diversity Database),NA,1094,Long-tailed weasel,Museum specimen,11/20/1978,NA,41.7933,-80.6861,1414.21,,
ODNR (Diversity Database),NA,19921,Long-tailed weasel,Museum specimen,11/28/1975,NA,41.2375,-80.6661,4828.03,,
ODNR (Diversity Database),NA,15393,Long-tailed weasel,Museum specimen,NA,NA,40.9128,-80.5308,1609.34,,
ODNR (Diversity Database),NA,19896,Long-tailed weasel,Museum specimen,12/16/1974,NA,41.1514,-80.5042,4828.03,,
ODNR (Diversity Database),NA,1252566,Long-tailed weasel,Museum specimen,4/19/2003,NA,NA,NA,NA,,
ODNR (Diversity Database),NA,1899599,Long-tailed weasel,Museum specimen,4/9/2013,NA,NA,NA,NA,,
ODNR (Diversity Database),NA,35943,Least weasel,Museum specimen,NA,NA,39.450138,-82.199598,60.96,,
ODNR (Diversity Database),NA,19747,Least weasel,Museum specimen,4/12/1905,NA,41.1819,-81.5844,1414.21,,
ODNR (Diversity Database),NA,17919,Least weasel,Museum specimen,10/25/1905,NA,41.0233,-81.3472,1414.21,,
ODNR (Diversity Database),NA,7134,Least weasel,Museum specimen,3/22/1909,NA,41.4497,-82.7072,4828.03,,
ODNR (Diversity Database),NA,6968,Least weasel,Museum specimen,1/31/1911,NA,41.3254,-82.4934,1609.34,,
ODNR (Diversity Database),NA,4223,Least weasel,Museum specimen,12/1/1920,NA,40.7876,-82.7365,1609.34,,
ODNR (Diversity Database),NA,11713,Least weasel,Museum specimen,12/1/1922,NA,41.0444,-83.6503,4828.03,,
ODNR (Diversity Database),NA,13968,Least weasel,Museum specimen,3/31/1924,NA,41.5986,-81.4186,1609.34,,
ODNR (Diversity Database),NA,12802,Least weasel,Museum specimen,12/10/1925,NA,41.2442,-82.6964,1609.34,,
ODNR (Diversity Database),NA,11767,Least weasel,Museum specimen,12/19/1927,NA,40.9983,-83.665,S7,,
ODNR (Diversity Database),NA,11708,Least weasel,Museum specimen,3/9/1927,NA,41.3762,-83.6517,4828.03,,
ODNR (Diversity Database),NA,11714,Least weasel,Museum specimen,11/19/1928,NA,41.0444,-83.6503,4828.03,,
ODNR (Diversity Database),NA,21076,Least weasel,Museum specimen,4/5/1928,NA,41.4692,-83.4947,4828.03,,
